"rep","Dmean","Dse","decHour","DmmolMean","DmmolSE","CondMean","CondSE","PhotoMean","PhotoSE","CiCaMean","CiCaSE","gcMean","gcSE","vcmax_TinsMean","vcmax_TinsSE","vcmax_TsenMean","vcmax_TsenSE","sampleNo","round","spp","treatment","leafAge"
"2_QUE_control_mature",1.15666666666667,0.0405517502019881,9.98333333333333,11.3845144356955,0.399131399625867,0.0922666666666667,0.0450649284674655,7.39333333333333,2.40845962759972,0.568854146751091,0.0923076292473057,0.0576666666666667,0.0281655802921659,39.0847546513958,8.62505652340007,38.9881206360579,8.70162528720355,3,"2","QUE","control","mature"
"2_QUE_drought_mature",1.18,0.0204124145231932,9.99583333333333,11.6141732283465,0.200909591763712,0.0492,0.00752639798752808,5.77,0.872190728376922,0.508196640741637,0.015705273792928,0.03075,0.00470399874220505,36.4477918234563,6.02317042911896,36.1474952609712,5.95482420490211,4,"2","QUE","drought","mature"
"2_QUE_well-watered_mature",2.3325,0.149017616408262,11.7125,22.9576771653543,1.46670882291597,0.066425,0.033844284968071,5.0925,2.39399726747268,0.695882911077786,0.171119916446206,0.041515625,0.0211526781050444,41.9946619867552,6.86714792177303,43.3136395495574,6.589492946209,4,"2","QUE","well-watered","mature"
"3_QUE_control_mature",1.53,0.0854400374531753,11.6444444444444,15.0590551181102,0.840945250523379,0.100933333333333,0.0563648925405798,7.31333333333333,2.66374006072498,0.617655826718941,0.0599817178763237,0.0630833333333333,0.0352280578378624,35.6061563165731,9.44402816289894,35.0774034473675,9.10869343392794,3,"3","QUE","control","mature"
"3_QUE_drought_mature",1.5825,0.0521815740148442,11.6541666666667,15.5757874015748,0.513598169437443,0.035075,0.00696172571996341,3.9925,0.735791807057766,0.497099189252843,0.0394433113408007,0.021921875,0.00435107857497713,26.6071861384409,5.2877206587204,26.6342310633399,5.32287064301283,4,"3","QUE","drought","mature"
"3_QUE_well-watered_mature",2.972,0.134402380931292,13.57,29.251968503937,1.3228580800324,0.05886,0.0198531256984889,5.666,2.05460604496336,0.652058641312194,0.143068760080037,0.0367875,0.0124082035615556,44.2963525350146,6.58225011170653,47.427335009061,5.65648858616967,5,"3","QUE","well-watered","mature"
"4_QUE_control_mature",2.02,0.0600000000000001,13.1333333333333,19.8818897637795,0.590551181102363,0.0376,0.0194217232328476,3.54666666666667,1.68389759519726,0.557112932044101,0.0583050709847996,0.0235,0.0121385770205298,19.400194980812,8.14551805341672,19.467649288193,7.93961620623412,3,"4","QUE","control","mature"
"4_QUE_drought_mature",2.0625,0.0566237582645307,13.15,20.3001968503937,0.557320455359554,0.025825,0.00527531594630438,2.9425,0.77182008913995,0.522966438590346,0.103830206350254,0.016140625,0.00329707246644024,32.7235563774464,19.703829432062,44.4611782660708,31.3455999219645,4,"4","QUE","drought","mature"
"4_QUE_well-watered_mature",3.516,0.105195056918089,15.7433333333333,34.6062992125984,1.03538441848513,0.04522,0.0138635637553985,4.626,1.53613996758108,0.558608690748484,0.0679440584284661,0.0282625,0.00866472734712408,29.3512907990811,10.3018318920414,34.2771114158638,12.4763507385795,5,"4","QUE","well-watered","mature"
"5_QUE_control_mature",2.51,0.0152752523165194,15.0222222222222,24.7047244094488,0.150346971619286,0.0551666666666667,0.00317139997127101,5.08666666666667,0.401344961071866,0.592491737048781,0.0260275526083192,0.0344791666666667,0.00198212498204438,27.2962324793489,3.11115996270946,28.0326292510465,3.46325842255377,3,"5","QUE","control","mature"
