"campaign","date","roundNum","round","spp","ID","leafAge","treatment","Obs","HHMMSS","FTime","Photo","Cond","Ci","Trmmol","VpdL","Area","Tleaf","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","DateTime","Time","rep","CiCa","Dmmol","gc","CAPindex","MESindex","fround","gc_CAP","gc_MES","qfitCAP","qfitMES"
"Jun-15","24/06/2015",4,"4","EUC",4053,"young","well-watered",77,"16:49:24",6656.5,11.58,0.1396,245,4.23,3.05,2,30.04,399.83,394.53,10.34,12.02,24.31,28.24,500,1499,2015-06-24 16:49:24,16.8166666666667,"4_EUC_well-watered_young",0.620992066509518,30.0196850393701,0.08725,0.00600806121722035,0.0261791565625604,"4",0.0730543343094875,0.0576985199972956,"yes","yes"
"Jun-15","24/06/2015",4,"4","EUC",8062,"young","well-watered",88,"17:04:28",7560.9,6.35,0.0481,169,1.68,3.48,2,31.3,399.9,397.1,10.27,10.93,24.02,25.57,500,1498,2015-06-24 17:04:28,17.0666666666667,"4_EUC_well-watered_young",0.425585494837572,34.251968503937,0.0300625,0.00306195300044558,0.0180828918453313,"4",0.0424960332599636,0.0396277723334229,"yes","yes"
"Jun-15","18/06/2015",1,"1","MOL",5041,"young","well-watered",12,"07:52:28",1609.1,7.83,0.288,345,3.05,1.09,2,21.74,399.9,396.29,13.66,14.85,50.48,54.91,500,1500,2015-06-18 07:52:28,7.86666666666667,"1_MOL_well-watered_young",0.870574579222287,10.7283464566929,0.18,0.0067617141867952,0.0359199080209718,"1",0.134294114881448,0.130625730391497,"yes","yes"
"Jun-15","18/06/2015",1,"1","MOL",3071,"young","well-watered",54,"08:39:52",4452.8,4.51,0.1031,320,1.22,1.19,2,23.94,400.12,398.13,17.05,17.53,60.56,62.25,500,1500,2015-06-18 08:39:52,8.65,"1_MOL_well-watered_young",0.803757566623967,11.7125984251969,0.0644375,0.00370814691311236,0.0260228681551427,"1",0.0756017477608609,0.089208079889786,"yes","yes"
"Jun-15","18/06/2015",1,"1","MOL",6064,"young","well-watered",98,"09:25:14",7175.6,5.89,0.1288,315,1.79,1.41,2,24.68,400.03,397.4,16.04,16.75,58.29,60.85,500,1498,2015-06-18 09:25:14,9.41666666666667,"1_MOL_well-watered_young",0.792652239557121,13.8779527559055,0.0805,0.00445812897144866,0.0273485919593773,"1",0.0916117079073432,0.0947560382621844,"yes","yes"
"Jun-15","18/06/2015",2,"2","MOL",5041,"young","well-watered",142,"10:13:17",10058.4,9.18,0.2348,323,3.37,1.47,2,25.66,399.36,395.16,16.64,17.97,52.68,56.87,500,1499,2015-06-18 10:13:17,10.2166666666667,"2_MOL_well-watered_young",0.817390424131997,14.4685039370079,0.14675,0.00684829790788121,0.0335448167808792,"2",0.139591967853106,0.120686324243254,"yes","yes"
"Jun-15","18/06/2015",2,"2","MOL",3071,"young","well-watered",183,"10:58:23",12765.3,1.43,0.0326,318,0.63,1.94,2,27.13,400.14,399.47,16.04,16.29,52.17,52.98,500,1500,2015-06-18 10:58:23,10.9666666666667,"2_MOL_well-watered_young",0.79605477257366,19.0944881889764,0.020375,0.000917391194192406,0.0114548732164593,"2",0.0219218301863513,0.0282431720930304,"yes","yes"
"Jun-15","18/06/2015",2,"2","MOL",6064,"young","well-watered",225,"11:36:22",15043.3,5.74,0.1294,315,2.35,1.84,2,26.78,399.89,397.22,15.61,16.54,49.87,52.83,500,1498,2015-06-18 11:36:22,11.6,"2_MOL_well-watered_young",0.79301142943457,18.1102362204724,0.080875,0.00380513745473491,0.0236398194189674,"2",0.0806681678327521,0.0792353727953923,"yes","yes"
"Jun-15","18/06/2015",3,"3","MOL",5041,"young","well-watered",270,"12:21:28",17749.3,8,0.2198,325,4.32,2,2,27.62,399.78,395.89,14.99,16.69,43.62,48.56,500,1498,2015-06-18 12:21:28,12.35,"3_MOL_well-watered_young",0.820935108237137,19.6850393700787,0.137375,0.00510593086915541,0.0268190507419275,"3",0.108102818982708,0.0925399864559962,"yes","yes"
"Jun-15","18/06/2015",3,"3","MOL",3071,"young","well-watered",321,"13:11:41",20684.9,0.35,0.0384,370,0.93,2.42,2,28.45,399.99,399.7,14.08,14.45,41.25,42.32,500,1499,2015-06-18 13:11:41,13.1833333333333,"3_MOL_well-watered_young",0.925694270703027,23.8188976377953,0.024,0.000200909202172681,0.0050723534546229,"3",0.00734108907215574,0.00153326929384,"yes","yes"
"Jun-15","18/06/2015",3,"3","MOL",6064,"young","well-watered",358,"14:08:15",24157.3,3.18,0.0659,316,1.47,2.3,2,28.15,399.9,398.39,14.34,14.92,41.7,43.38,500,1499,2015-06-18 14:08:15,14.1333333333333,"3_MOL_well-watered_young",0.793192600215869,22.6377952755906,0.0411875,0.0018793144557335,0.0157119903548823,"3",0.0423647187138254,0.0460585787372751,"yes","yes"
"Jun-15","24/06/2015",1,"1","MOL",7013,"young","well-watered",10,"07:45:36",1144.2,5.44,0.0804,283,0.87,1.09,2,22.41,400.59,398.27,15.67,16.01,58.98,60.27,501,1497,2015-06-24 07:45:36,7.75,"1_MOL_well-watered_young",0.710573229216361,10.7283464566929,0.05025,0.00467163030914503,0.0298566477885759,"1",0.093747800969481,0.105251881583093,"yes","yes"
"Jun-15","24/06/2015",1,"1","MOL",6061,"young","well-watered",20,"07:59:10",1958,7.58,0.2103,331,2.17,1.05,2,22.18,399.41,396.04,15.18,16.03,55.98,59.12,501,1500,2015-06-24 07:59:10,7.98333333333333,"1_MOL_well-watered_young",0.835774164225836,10.3346456692913,0.1314375,0.00667405936480097,0.0360214460782668,"1",0.132188810686053,0.131050652168784,"yes","yes"
