"Species","Campaign","leafAge","Treatment","g0","g0_err","t_val_g0","P_val_g0","xi","xi_err","t_val_xi","P_val_xi","upCI_xi","lwCI_xi","AIC_CAP","RMSE_CAP","intMES","intMES_err","t_val_intMES","P_val_intMES","sqrtEmax","sqrtEmax_err","t_val_MES","P_val_MES","AIC_MES","R2_MES","RMSE_MES","Emax","Emax_err","g1","g1_err","g1_CI","campaign","spp"
3,2,"mature","well-watered",-0.000141254662892422,0.00544905289389759,-0.0259227916562553,0.979684804047055,9.80166420444716,0.878582120138787,11.1562299980551,2.37061024152788e-08,7.91728965983547,11.6860387996885,-92.4965909039923,0.0111428527123848,-0.031408325193643,0.0129063020161769,-2.43356502538646,0.0289440637209063,3.8700156358223,0.447917706147958,8.64001485697898,5.5288536800398e-07,-76.5775712731185,0.842075322887138,0.0183250255765831,14.9770210215091,3.46689705270851,1.95266027586774,0.175028685874006,-0.375399864781403,"Jun-2015","MOL"
3,1,"mature","drought",0.01219829311508,0.001977331274238,6.16906902450163,6.2829002683676e-06,3.69601122325752,0.922150573069444,4.00803440478824,0.000752258983202036,1.7659278967943,5.6260945695624,-154.670492015993,0.00527684742414248,0.00551237530135838,0.00298848136849423,1.84454062838472,0.080753524954546,1.47642735012983,0.193830037852585,7.61712357118099,3.44516006139472e-07,-153.28153601225,0.753312658809144,0.00545427236457775,2.1798377202114,0.572351938324515,0.736309074079669,0.183708271865139,-0.384505835012534,"Aug-2015","MOL"
4,1,"mature","drought",0.000206407349646185,0.00243897789563203,0.0846286266127464,0.933675826940043,4.03467627400475,0.533079784131631,7.56861616986115,1.69261954279743e-06,2.89844445599179,5.17090805079891,-114.624634278489,0.00696594575389078,-0.00935769500952575,0.00505779854927796,-1.85015178409224,0.0840890825667524,1.63015644204654,0.210091368939928,7.75927374014421,1.25190761479018e-06,-99.4352904724407,0.80054870109286,0.0108892796912784,2.65741002554582,0.6849635969916,0.803776983367849,0.106198671636772,-0.226356933725391,"Aug-2015","PIN"
4,1,"mature","well-watered",0.00750827811251427,0.00341686306197315,2.19741850239044,0.0453190209451917,4.05329496995392,0.808989711061802,5.01031708380315,0.000190830423564042,2.31818462528403,5.78840538419921,-103.299296732239,0.007950332271062,0.000830967399299142,0.0057113966967612,0.145492852872637,0.886553441399089,1.59309560781219,0.233186598790852,6.83184889729042,1.20292077819849e-05,-90.9528195574922,0.782150261680699,0.00925151047966695,2.53795361563048,0.742977092668739,0.807486148180076,0.161164679734629,-0.345663869876708,"Aug-2015","PIN"
4,2,"young","well-watered",-0.00418048833843197,0.0132339674220655,-0.315890783550039,0.756745600481789,10.5159130194406,2.07370492346685,5.07107491545132,0.000170550176541033,6.06825767224483,14.9635682940924,-68.259918511875,0.023764533787922,-0.0291248506524914,0.0168074082996546,-1.73285792391264,0.105080673078407,3.64090310099614,0.543554508283198,6.69832196313821,1.01327952895844e-05,-69.7917500819552,0.762177841286918,0.0226537308480168,13.2561753908433,3.95805858953745,2.09495093784437,0.413117726078382,-0.886049511023409,"Jun-2015","PIN"
4,2,"mature","well-watered",0.00313230600243167,0.0102040761123121,0.306966154304971,0.763387511458228,6.9126982912979,1.32459548431215,5.21872403550249,0.000130058764847201,4.07172354018658,9.75367300909739,-80.6179310015254,0.0161513946500395,-0.0200702388020841,0.0205834883539456,-0.975064986894552,0.346076001287817,3.04692709508618,0.608625354756077,5.00624410612554,0.000192276416129162,-70.2295472651928,0.641599816958929,0.0223459119483312,9.2837647227703,3.70887416832546,1.37712852337381,0.263882227534036,-0.565971080061554,"Jun-2015","PIN"
5,2,"mature","well-watered",0.0172756923570943,0.00685017239921276,2.52193541276124,0.0234664438752456,1.26793431203176,1.44597973977592,0.876868656699331,0.394385021912644,-1.81409868888471,4.34996727062361,-102.569411277712,0.00993038021669309,0.0216563834780522,0.012626491333564,1.71515450380777,0.106894818440021,0.755025272787072,0.480200370979205,1.57231297270232,0.136729588445886,-93.3091058085739,0.141491775504024,0.0130392063587086,0.570063162547193,0.725126832182054,0.252594346416274,0.288064061232475,-0.613994032199849,"Jun-2015","PTE"
5,1,"mature","drought",0.00278205868832335,0.00112269571448213,2.47801666331884,0.0326535422329845,2.00477322271626,0.729832276673754,2.74689580988814,0.0205876382113658,0.378605636405403,3.63094084114001,-100.870006608939,0.00281764041870139,-0.00264696056657149,0.00257559395254487,-1.02770879856901,0.338283148520302,1.09351254309181,0.186328916333429,5.86872163811123,0.000618741470826737,-71.0291143417371,0.831088799742647,0.0029025233180648,1.19576968189912,0.407506014302617,0.399385344413785,0.145395155861426,-0.323960589157687,"Aug-2015","PTE"
5,1,"mature","well-watered",0.0241518813258641,0.0157371197130563,1.53470786053857,0.168728984418972,3.37644745106099,3.49505433637241,0.966064365844872,0.366194086769166,-4.88804253177001,11.6409378825829,-36.9120359009593,0.0223050866037805,0.0107970194425207,0.0259040969947523,0.416807404817392,0.689303710865586,1.98171558558608,1.10423905736222,1.79464362573802,0.115788478105601,-35.4459941887609,0.315118468286057,0.0241977949941842,3.92719666215476,4.37657550037519,0.672646468367109,0.696275002110078,-1.64642879304109,"Aug-2015","PTE"
5,2,"young","well-watered",0.0905634326195522,0.0398916098184827,2.27023760213337,0.0395150597815032,-1.03937986943687,12.8203818130877,-0.0810724582614084,0.936531932170948,-28.5363651776526,26.4576048143716,-23.3811937938342,0.0966073127520404,0.059308834696714,0.0549198095368782,1.07991697707707,0.298432795603077,2.15551000322349,2.76773540396946,0.778799158377666,0.449062179234991,-24.3052890801424,0.0415244556221288,0.0938573861908972,4.64622337399652,11.9317626990639,-0.207062366170955,2.55404080018528,-5.47787279570908,"Jun-2015","PTE"
