"nPsi","predksi2","predksi7","predksi12","predksi50","predEmax2","predEmax7","predEmax12","predEmax50"
-0.366666666666667,13.6952411171826,25.2296719042013,32.5432701723551,60.0469488674109,3.22577052403404,10.9475593727019,18.2144678265338,62.0120363614302
-0.38,13.6847366126674,25.164176994234,32.4030738867129,59.1796868303767,3.1945315293303,10.8018901180795,17.9104589629599,59.7419808096154
-0.393333333333333,13.673400504294,25.0938988239899,32.2534376670195,58.2825701548495,3.16299227591879,10.6532310697615,17.5993683650685,57.467519516265
-0.406666666666667,13.661201791946,25.0187338368179,32.0943009335227,57.3590155095082,3.13114898824889,10.5016266388408,17.2815129486525,55.1987569098663
-0.42,13.6481100243521,24.9385915886963,31.9256432761762,56.4125446550365,3.09899870677644,10.3471372812206,16.9572599806178,52.9453405171833
-0.433333333333333,13.6340953698925,24.8533954265825,31.7474850157892,55.4467264211104,3.06653931182634,10.1898394362403,16.6270244429193,50.7163163772015
-0.446666666666667,13.6191286880346,24.7630830931666,31.5598873775325,54.4651222713672,3.03376954556457,10.0298253363711,16.2912658089341,48.5200127241961
-0.46,13.6031816011709,24.6676072494083,31.3629522671515,53.4712367569079,3.00068903190398,9.86720268523102,15.9504842736574,46.3639530570053
-0.473333333333333,13.586226566614,24.5669359069936,31.1568216477257,52.4684738138674,2.96729829416765,9.70209420309716,15.605216491958,44.2547982332881
-0.486666666666667,13.568236948477,24.4610527637813,30.9416765225012,51.4600995123492,2.93359877033469,9.53463704112742,15.2560308906697,42.1983159789117
-0.5,13.5491870891567,24.3499574364165,30.7177355369658,50.4492115352196,2.89959282569745,9.36498206760583,14.9035226301121,40.1993752343588
-0.513333333333333,13.5290523801137,24.2336655855379,30.4852532206801,49.4387153731398,2.86528376276484,9.19329303163451,14.5483082983377,38.2619620901565
-0.526666666666667,13.5078093316339,24.1122089303822,30.2445178961957,48.4313069780894,2.83067582825513,9.0197456117604,14.1910204267473,36.3892136819681
-0.54,13.4854356412422,23.9856351510559,29.9958492884623,47.4294614271101,2.79577421703205,8.84452635899043,13.8323019185023,34.5834662923114
-0.553333333333333,13.4619102604307,23.8540076782793,29.7395958732687,46.4354270117204,2.76058507285087,8.66783154546057,13.4728004813555,32.8463139957159
-0.566666666666667,13.437213459358,23.7174053719586,29.476132007339,45.4512240831902,2.72511548579617,8.48986593163399,13.1131631541622,31.1786744370809
-0.58,13.4113268891705,23.5759220914976,29.2058548856133,44.4786479436723,2.68937348631023,8.31084146626544,12.7540310115832,29.5808586984028
-0.593333333333333,13.3842336415985,23.4296661622579,28.9291813729363,43.5192750705588,2.65336803572972,8.13097593444818,12.3960341246034,28.0526426403582
-0.606666666666667,13.3559183054824,23.2787597440048,28.6465447578567,42.574471988231,2.61710901326933,7.9504915698263,12.039786845803,26.5933375628667
-0.62,13.3263670198878,23.1233381084832,28.3583914755487,41.6454061496532,2.58060719941326,7.76961364749289,11.6858834782078,25.2018584813427
-0.633333333333333,13.2955675234803,22.9635488344414,28.0651778450913,40.7330582527402,2.54387425569933,7.5885690741929,11.3348943754448,23.8767887399684
-0.646666666666667,13.2635091998416,22.7995509294211,27.7673668636077,39.83823548686,2.50692270090526,7.40758499221433,10.9873625092641,22.616440064858
-0.66,13.2301831184241,22.6315138884536,27.4654250962097,38.9615852781084,2.46976588367253,7.2268874127919,10.6438005286873,21.4189074900285
-0.673333333333333,13.1955820708604,22.4596167004172,27.1598196964925,38.1036091742011,2.43241795162962,7.04669989398987,10.3046883234924,20.2821188645705
-0.686666666666667,13.1597006023659,22.2840468132253,26.8510155876461,37.2646765781279,2.394893817103,6.86724227690207,9.97047109379588,19.2038788712482
-0.7,13.1225350379961,22.1049990692142,26.5394728292658,36.4450381022398,2.35720911953105,6.68872949264837,9.64155791744061,18.1819076586332
-0.713333333333333,13.0840835035499,21.9226746220977,26.2256441898326,35.6448383700908,2.31938018472239,6.51137045109885,9.31832079795642,17.2138743161283
-0.726666666666667,13.0443459409376,21.7372798466539,25.9099729397416,34.8641281416977,2.28142398112566,6.3353670205665,9.00109416820344,16.2974255100699
-0.74,13.0033241178651,21.5490252519282,25.5928908748203,34.1028756788902,2.24335807330261,6.16091310592569,8.6901748185206,15.430209655892
-0.753333333333333,12.9610216317209,21.3581244081895,25.2748165756238,33.3609773014685,2.20520057281961,5.98819383078302,8.38582221331943,14.6098970322484
-0.766666666666667,12.917443907586,21.1647928971874,24.9561539035028,32.6382671124906,2.16697008679463,5.81738482749708,8.08825915656354,13.8341962536563
-0.78,12.872598190324,20.9692472944474,24.6372907305876,31.9345258928689,2.12868566435623,5.64865163705684,7.79767276438897,13.1008675136066
-0.793333333333333,12.8264935307481,20.7717041914408,24.318597897466,31.2494891822794,2.09036674128929,5.48214921912216,7.51421570214436,12.4077329943983
-0.806666666666667,12.7791407658956,20.5723792644906,24.0004283894758,30.582854575911,2.05203308315694,5.31802157093893,7.23800764323181,11.7526848167091
-0.82,12.7305524934828,20.3714863962615,23.6831167201881,29.9342882754953,2.01370472720132,5.15640145239163,6.96913690816001,11.1336908739068
-0.833333333333333,12.6807430406473,20.1692368546435,23.3669785088238,29.3034309390015,1.97540192333526,4.99741021316833,6.70766224402386,10.5487988655528
-0.846666666666667,12.629728427123,19.9658385328117,23.0523102369882,28.689902876927,1.93714507454422,4.84115771690281,6.45361470704042,9.99613881311047
-0.86,12.5775263230292,19.7614952532275,22.7393891691963,28.0933086447644,1.89895467702166,4.68774235623192,6.20699961364662,9.47392430979025
-0.873333333333333,12.5241560014865,19.5564061373877,22.4284734211596,27.5132410814052,1.86085126036212,4.53725115196786,5.96779852885776,8.98045272659308
-0.886666666666667,12.4696382863083,19.3507650422071,22.1198021596524,26.9492848423128,1.82285532813394,4.38975992903095,5.7359712639664,8.51410456853946
-0.9,12.4139954950422,19.1447600630814,21.8135959179351,26.4010194745655,1.78498729914864,4.24533356141101,5.51145785911736,8.07334214913879
-0.913333333333333,12.3572513776665,18.9385731029078,21.5100570111304,25.8680220785707,1.74726744973597,4.10402627821549,5.29418052972857,7.65670772753912
-0.926666666666667,12.2994310512682,18.7323795056566,21.2093700365727,25.349869598585,1.70971585732281,3.96588202280399,5.08404555906172,7.26282123155299
-0.94,12.2405609310538,18.5263477524914,20.9117024449432,24.8461407812959,1.67235234560054,3.83093485708737,4.88094512241757,6.89037767083819
-0.953333333333333,12.1806686580592,18.3206392179251,20.617205168913,24.3564178387469,1.63519643155008,3.69920940326722,4.68475903139345,6.53814432781968
-0.966666666666667,12.1197830239412,18.115407983082,20.3260132970163,23.8802878489079,1.59826727457533,3.57072131559024,4.49535638936141,6.20495779932788
-0.98,12.0579338932457,17.910800702795,20.0382467815186,23.4173439242808,1.56158362797616,3.44547777507387,4.31259715178501,5.88972094923237
-0.993333333333333,11.9951521235533,17.7069565230181,19.7540111701144,22.9671861761251,1.52516379297013,3.32347800060657,4.13633358718242,5.59139982139159
